,Judul,Penulis,Pembimbing I,Pembimbing II,Abstrak
242,Makna Setiap Ruang pada Tanean Lanjheng di Madura (Studi Kasus di Desa Bulay Kecamatan Galis Kabupaten Pamekasan) ,Ana Gita Safitri,"Hetti Mulyaningsih, S.Sos, M.Kes.",,"ABSTRAK

Ana Gita Safitri, NIM 120521100061, Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, skripsi ini tentang Makna Setiap Ruang pada Tanean Lanjheng di Madura (Studi Kasus di Desa Bulay Kecamatan Galis Kabupaten Pamekasan) di bawah bimbingan Ibu Hetti Mulyaningsih, S.Sos, M.Kes. 
 Tanean Lanjheng adalah bukti kekerabatan masyarakat Madura, Tanean Lanjheng atau halaman panjang merupakan adat budaya Madura dimana rumah yang dianut oleh masyarakat Madura. Dalam pemukiman Tanean Lanjheng ini terdapat beberapa rumah yang dibangun berjejer dari arah barat ke timur dan menghadap ke selatan. Dalam sebuah pemukiman Tanean Lanjheng ada beberapa bagian ruang seperti rumah, dapur, kandang, dan langgar, serta langgar yang berada dibagian barat rumah. Kekerabatan dalam kompleks pemukiman Tanean Lanjheng sangatlah erat dan kokoh. Tanean Lanjheng itulah yang sebenarnya merupakan satuan sosial paling bermakna di Madura. 
Tujuan dalam penelitian ini yaitu untuk mengetahui makna setiap ruang pada Tanean Lanjheng di Madura dengan studi kasus di Desa Bulay Kecamatan Galis Kabupaten Pamekasan. Penelitian ini menggali data dengan cara observasi, wawancara mendalam, dan dokumentasi dengan informan yang telah ditentukan menggunakan teknik Purposive Sampling kemudian data yang diperoleh di analisa menggunakan metode kualitatif dengan pendekatan studi kasus, dan diperiksa keabsahannya dengan triangulasi sumber data. Serta teori yang di gunakan di dalam penelitian ini adalah Teori Produksi Ruang milik dari Henri Lavebre. 
Dari hasil wawancara yang dilakukan oleh peneliti dapat disimpulkan bahwa terdapat simbolisasi sumber kehidupan dan tempat memulainya kehidupan. Serta rumah hanya digunakan sebagai tempat tinggal perempuan dan bagian yang luar atau serambi digunakan untuk menerima tamu perempuan juga. Sebaliknya di bagian selatan adalah daerah yang terbuka, terang, kiri, bawah, tanpa peninggian lantai adalah daerah laki laki. Di sebelah barat terdapat sebuah langgar, simbol kematian, dan keluarga yang berurutan dari tua. Timur berarti awal kehidupan, generasi baru, muda (tampak dari susunan rumahnya yang berurutan dari barat ke timur adalah tua ke muda).







Kata Kunci: Produksi Ruang, Tanean Lanjheng



"
243,Strategi Bertahan Hidup Petani Miskin Dalam Memenuhi Kebutuhan Keluarga (Studi Kasus Di Desa Lenteng Barat Kecamatan Lenteng Kabupaten Sumenep),Elisa Yusri Andriyani,"Drs. Subandri, M.S.",,"ABSTRAK
Elisa Yusri Andriyani, NIM 120521100075, Program Studi Sosiologi, Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, Skripsi ini tentang Strategi Bertahan Hidup Petani Miskin Dalam Memenuhi Kebutuhan Keluarga (Studi Kasus Di Desa Lenteng Barat Kecamatan Lenteng Kabupaten Sumenep) di bawah bimbingan Drs. Subandri, M.S.
Strategi bertahan hidup petani miskin merupakansuatu kemampuan petani miskindalam menerapkan seperangkat cara untuk mengatasi berbagai permasalahan yang melingkupi kehidupannya. Petani miskin dalam menghadapi kehidupan yang serba sulit, terutama dalam kehidupan perekonomiannya, mereka sangat memerlukan berbagai strategi agar dapat bertahan hidup ditengah masyarakat lain. Mereka harus mempunyai beberapa strategi survival agar dapat terus beradaptasi dengan kehidupan sosialnya. karena ketidak pastian masa depan yang tidak bisa diramalkan akan mendorong orang untuk menyiasati hidup dalam rangka mengatasi masalah melalui perjuagan hidup.
Tujuan penelitian ini untuk mengetahui Bagaimana Strategi Bertahan Hidup Petani Miskin Dalam Memenuhi Kebutuhan Keluarga Di Desa Lenteng Barat Kecamatan Lenteng Kabupaten Sumenep. Penelitian ini menggunakan penggumpulan data di lapangan dengan observasi, wawancara, dan dokumentasi. Informan yang ditentukan dengan menggunakan teknik purposive sampling kemudian dengan data yang diperoleh oleh peneliti di analisa dengan menggunakan teknik analisa deskriptif kualitatif, dan diperiksa keabsahannya dengan triangulasi sumber. Teori yang digunakan Mekanisme Survival James Scott. Penelitian ini dilakukan di Desa Lenteng Barat Kecamatan Lenteng Timur Kabupaten Sumenep.
  Hasil penelitian ini menunjukkan bahwa petani miskin di Desa Lenteng BaratKecamatan Lenteng Kabupaten Sumenep menerapkan tiga strategi dalam memenuhi kebutuhan pokok keluarga yaitu pertama strategi menghemat pengeluaran,petani miskin yang berada di Desa Lenteng Barat memilih bertahan hidup dengan cara menjalankan pola hidup hemat. Petani miskin di Desa Lenteng Barat tidak mengurangi jatah makan, namun petani miskin berupaya mengatur pola makan mereka sehingga jatah pengeluaran untuk makan tidak membenkak. Kedua strategi bekerja sampingan yaitustrategi yang telah dilakukan oleh petani miskin yang berada di Desa Lenteng Barat dengan cara bekerja menjadi buruh bangunan, buruh tani, tukang ronsokan. pekerjaan tersebut dilakukan ketika petani miskin di Desa Lenteng tidak melakukan pekerjaan taninya.Ketiga strategi bantuan pinjaman dari sanak saudara, tetangga adalah petani miskin yang berada di Desa Lenteng Barat ini meminta bantuan ke saudara terdekat dan tetangga, apabila ada kekurangan atau musibah yang menimpanya. Terkadang petani miskin yang berada di Desa Lenteng barat ini diberi bantuan dari pemerintah diberikan bantuan untuk masyarakat miskin. Akan tetapi yang diberikan oleh pemeritah tidak terus menerus ada terkadang bantuan itu tidak ada. bantuan dari pemerintah seperti bantuan uang langsung tunai, dan bantuan lainnya yaitu raskin beras untuk masyarakat miskin.

Kata Kunci: Strategi Bertahan Hidup, Petani Miskin

"
244," “Manusia Besi Tua” (Studi Biografi pada Penyelam Tertua Besi Tua Tradisional di Desa Kamal, Kecamatan Kamal, Kabupaten Bangkalan)",Sri Nur Khayati,"Khoirul Rosyadi, S.S, M.Si, Ph.D",,"ABSTRAK

Sri Nur Khayati, NIM 120521100070, Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, skripsi ini tentang “Manusia Besi Tua” (Studi Biografi pada Penyelam Tertua Besi Tua Tradisional di Desa Kamal, Kecamatan Kamal, Kabupaten Bangkalan) di bawah bimbingan Bapak Khoirul Rosyadi, S.S, M.Si, Ph.D. 
Manusia besi tua adalah orang yang bekerja sebagai penyelam besi tua tradisional dalam mencari besi tua di dasar laut. Peneliti ingin melihat biografi dari pekerja penyelam besi tua tradisional. Menggambarkan kondisi dalam keluarga dan pekerjaan penyelam besi tua tradisional. Melalui perjalanan hidup yang membawa orang tersebut pada pekerjaan penyelam besi tua tradisional saat ini. Tujuan penelitian ini yaitu untuk mengetahui gambaran dunia kerja dan kehidupan yang dialami pekerja penyelam besi tua tradisional di Desa Kamal, Kecamatan Kamal, Kabupaten Bangkalan. 
Penelitian ini menggunakan pendekatan kualitatif dengan desain penelitian studi biografi. Studi biografi adalah menulis tentang riwayat hidup seseorang. Informan ditentukan menggunakan teknik purposive sampling, fokus pada 1 orang pekerja penyelam besi tua tradisional yaitu Abdul Rahman. Teknik pengumpulan data antara lain pengumpulan data sumber primer dan sekunder, untuk sumber data utama dari kata-kata, tindakan, sumber data tertulis, foto, dan data statistik. Teknik pengumpulan data dengan cara wawancara dan observasi partisipan yang partisipasi parsial. Teknik analisis data dengan reduksi data, penyajian data dan penarikan kesimpulan. Teknik  pemeriksaan keabsahan data dengan triangulasi sumber dan metode. Dan teori yang digunakan adalah James S. Coleman yaitu pilihan rasional.
Hasil penelitian yang dilakukan kepada Abdul Rahman sebagai pekerja penyelam besi tua tradisional. Menunjukkan bahwa Abdul Rahman secara sengaja ke arah tujuan yang di bentuk oleh nilai dan pilihan yang memberikan keuntungan bagi dirinya. Dan Abdul Rahman memanfaatkan sumber daya dari besi tua yang berada di dasar laut. Hal ini, untuk mendapatkan keuntungan yang lebih dalam memenuhi kebutuhan hidup keluarganya. Kehidupan Abdul Rahman sederhana, menyesuaikan hasil pendapatan yang di dapat dari bekerja penyelam besi tua tradisional. Terdapat bahaya yang harus dihadapi dan diterima dari proses kerja sebagai penyelam besi tua tradisional. Dengan semua kondisi yang sudah Abdul Rahman hadapi, tidak menghentikan langkahnya untuk tetap bekerja sebagai penyelam besi tua tradisional dalam memenuhi kebutuhan keluarganya. 


Kata Kunci: Pilihan Rasional, Penyelam Besi Tua Tradisional
"
245,"Strategi Bertahan HIdup Buruh Pengrajin Celurit 
(studi Kasus Di Desa Paterongan Kecamatan Galis-Bangkalan)",citra Ananda Putra,"Khoirul Rosyadi, S.S, M.Si, Ph.D",,"Penelitian ini dilakukan dilakukan di Desa Paterongan Kecamatan Galis Kabupaten Bangkalan  dengan judul: “Strategi Bertahan Hidup Buruh Pengrajin Celurit (Studi Kasus Di Kecamatan Galis Desa Paterongan)”. Penelitian ini dilakukan oleh Citra Ananda Putra, NIM 12.05.211.00003, Program Studi Sosiologi, Fakulitas Ilmu Sosial dan Ilmu Budaya, Universitas  Trunojoyo Madura, dibawah bimbingan Khoirul Rosyadi, S.S, M.Si, Ph.D.
  Penelitian ini bertujuan untuk mengetahui bagaimana strategi bertahan hidup buruh pengrajin celurit yang berada di desa Paterongan kecamatan Galis untuk mempertahan kan kehidupan ekonomi rumah tangga. Teori yang digunakan strategi penghidupan rumah tangga (survival strategy) yang pada umumnya miskin atau marjinal yang dilihat dalam aspek kapabilitas, aset, dan kegiatan. Sedangkan metode Penelitian yang di gunakan adalah metode kualitatif diskripti dengan pendekatan studi kasus. Teknik yang digunakan untuk mengumpulkan data adalah observasi, wawancara, dan dokumentasi sedangkan untuk meneliti keabsahan data dengan menggunakan triangulasi sumber.
  Hasil penelitian diketahui bahwa Buruh Pengrajin Celurit di Desa Paterongan kecamatan Galis bekerja menjadi buruh pengrajin celurit dilatarbelakangi karena pendidikan yang rendah, keterampilan terbatas, dan tidak adanya modal usaha yang menyebabkan ekonomi keluarga rendah. Strategi bertahan hidup yang di lakukan buruh pengrajin celurit di desa Paterongan kecamatan Galis adalah memanfaatkan kemampuan yaitu menghasilkan kerajinan celurit, tidak hanya memanfaatkan kemampuan buruh pengrajin celurit juga menekankan kebutuhan dasar (hemat dalam keperluan makan), memanfaatkan pekarangan sebagai menam sayuran dan berternak ayam atau bebek, berhutang pada keluarga maupun tetangga, serta mendayagunakan istri atau anak menjadi buruh pengrajin celurit untuk memenuhi kebutuhan hidup keluarga.

Kata kunci: Strategi, bertahan hidup, dan buruh pengrajin celurit.
"
246,"PERSEPSI MASYARAKAT TERHADAP
USTADZ “TUKANG PRIMBON”
(Studi Kasus Di Desa Bulay Kecamatan Galis
Kabupaten Pamekasan)",MOH. RIFQI THAHIR,"Bangun Sentosa Dwi Hariyanto, Ph.D",,"ABSTRAK
Moh. Rifqi Thahir, NIM 120521100022 Persepsi Masyarakat Terhadap
Ustadz “Tukang Primbon” (Studi Kasus di Desa Bulay Kecamatan Galis
Kabupaten Pamekasan) dibawah bimbingan Bangun Sentosa. D.H., Ph.D.
Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya Universitas
Trunojoyo Madura. Penelitian ini membahas tentang kehidupan sosial manusia
yang tidak dapat lepas dari nilai dan norma, sebagai batasan-batasan serta
penilaian baik dan buruknya sebuah tindakan. Nilai dan norma antara masyarakat
satu dengan yang lainnya berbeda, latar belakang budaya sangat mempengaruhi
hal tersebut.
Dalam mencapai validitas, penelitian ini menggunakan jenis penelitian
kualitatif dengan pendekatan studi kasus, melalui metode pengumpulan data
observasi, wawancara, serta dokumentasi, untuk selanjutnya dianalisis melalui
tahapan-tahapan khusus dalam mencapai pemaparan yang rinci dan benar.
Primbon dalam kehidupan masyarakat Desa Bulay sangat berpengaruh
terhadap kehidupan sosial, kepercayaan masyarakat Desa Bulay yang kuat
menjadikan primbon sebagai sesuatu yang “sacral” yaitu sesuatu yang pantang
untuk dilanggardan dipelihara serta dipraktekkan kaidah-kaidahnya dalam
kehidupan nyata, sehingga nilai dan norma dapat mengarahkan individu dan
masyarakat pada sebuah tingkah laku dan interaksi sosial. Persepsi masyarakat
dengan adanya ustadz “tukang primbon mampu mengarahkan tingkah laku
individu dan sosial, kaidah-kaidah primbon menjadi kiblat masyarakat Desa Bulay
dalam melakukan aktivitas baik aktifitas individu maupun sosial, disisi lain
primbon mendorong masyarakat untuk saling bekerja sama supaya anggota
masyarakat dapat menyelesaikan kebutuhannya.
Kata Kunci : persepsi, masyarakat, ustadz, tukang primbon,"
247,Perilaku Pacaran di Kalangan Remaja (Studi Kasus pada Pengunjung Pelabuhan di Desa Batukerbuy Kecamatan Pasean Kabupaten Pamekasan),Ika Lusiana,"Iskandar Dzulkarnain, S.STh, M.Si","Dr. Dra. Sri Hidayati, M. Si","ABSTRAK
Ika Lusiana. 12.05.211.00045. Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya. Perilaku Pacaran di Kalangan Remaja (Studi Kasus pada pengunjung Pelabuhan di Desa Batukerbuy Kecamatan Pasean Kabupaten Pamekasan). 
Tujuan dalam penelitian ini adalah untuk mendeskripsikan dan menganalisis  perilaku pacaran yang merupakan salah satu bentuk penyimpangan yang terjadi pada kalangan remaja pada Pengunjung Pelabuhan karena perilaku pacaran ini dianggap tidak sesuai dengan kebiasaan, tata aturan atau norma sosial yang berlaku. Perilaku pacaran yang terjadi pada pengunjung pelabuhan ialah pada usia remaja dimana remaja sedang sibuk mencari identitas diri.penyimpangan ini terjadi pada pengunjung pelabuhan di Desa Batukerbuy Kecamatan Pasean Kabupaten Pamekasan.
Berdasarkan kondisi tersebut yang menyebabkan terjadinya perilaku pacaran di pelabuhan Desa Batukerbuy Kecamatan Pasean Kabupaten Pamekasan ialah: 1) menyalag gunakan media massa. 2) jauh dari orang tua. 3) lemahnya kontrol dari penjaga keamanan pelabuhan.  
Metode pengumpulan data menggunakan observasi partisipan dan wawancara serta dokumentasi. Informan dipilih dengan menggunakan metode purposive sampling. Aanalisis data menggunakan teknih Miles dan Huberman. Dan teknik pemeriksaan keabsahan data menggunakan triangulasi sumber.
Hasil penelitian ini menunjukkan bahwa, pelabuhan Desa Batukerbuy yang saat ini belum bisa di operasikan hanya bisa dijadilan tempat nongkrong dan tempat pacaran oleh kalangan remaja yang berkunjung ke pelabuhan penyebab yang mempengaruhi penyimpangan ini karena ada tekanan emosi dari diri individu untuk melakukan penyimpangan. Selain itu, karena jauh dari orang tua, menyalah gunakan media massa, dan lemahnya kontrol dari petugas keamanan pelabuhan. dengan menguunakan teori kontrol sosial Hirschi dalam Atmasasmita (1992) ada empat unsur utama didalam kontrol sosial internal, yaitu attachement (kasih atau partisipasi); commitment (tanggung jawab), involvement (keterlibatan atau partisipasi) dan believe (kepercayaan dan keyakinan). Keempat unsur tersebut dianggap merupakan mengendalikan perilaku individu. 

Kata Kunci: Perilaku Pacaran – Remaja.

"
248,Dramatisasi Perempuan Sebagai Mucikari dan Pedagang Di Warung Desa Ponteh Kecamatan Galis Kabupaten Pamekasan,Moh Qowaidul Asrori,Iskandar Dzulkarnain,,"Moh Qowaidul Asrori, NIM 120521100021, Program Studi Sosiologi Fakultas Ilmu Sosial dan Ilmu Budaya, Universitas Trunojoyo Madura, Skripsi ini tentang Dramatisasi Perempuan Sebagai Mucikari dan Pedagang di Warung Desa Ponteh Kecamatan Galis Kabupaten Pamekasan, di bawah bimbingan Iskandar Dzulkarnain, S.Thi, M.Si.
Dramatisasi adalah penyesuaian cerita unutk sebuah pertunjukan sandiwara atau pendramaan. Pendramaan disini yaitu tentang peran seseorang sebagai mucikari dan pedagang. Seseorang yang berperan sebagai mucikari disini adalah perempuan, dimana perempuan ini tinggal di sebuah desa dengan lingkungan masyakat yang masih sangat kental dengan keberagamaannya. Sehingga untuk menyembunyikan perannya sebagai mucikari, perempuan tersebut mendirikan warung di samping rumah yang dijadikan tempat prostitusi. Dengan demikian, latarnya sebagai mucikari di tutupi dengan berperan sebagai pedagang di warung.
Tujuan penelitian ini untuk mengetahui bagaimana dramatisasi perempuan sebagai mucikari dan pedagang di Warung Desa Ponteh, Kecamatan Galis, Kabupaten Pamekasan. penelitian ini dengan menggali data dilapangan dengan observasi, wawancara dan dokumentasi. Informan yang ditentukan dengan menggunakan teknik purposive sampling kemudian dengan data yang diperoleh oleh peneliti di analisa dengan menggunakan teknik analisa deskriptif kualitatif, dan diperiksa keabsahannya dengan triangulasi sumber. Teori Dramaturgi Erving Goffman yaitu adanya dua peran yang dimainkan oleh seorang Perempuan yaitu adanya panggung depan (front stage) dan panggung belakang (back stage). Penelitian ini dilakukan di Desa Ponteh Kecamatan Galis Kabupaen Pamekasan.
Hasil penelitian ini menunjukkan bahwa ada dua peran yang dimainkan oleh seorang perempuan yaitu panggung depan sebagai seorang pedagang dan panggung belakang yang dimainkan sebagai seorang mucikari. Panggung ini hampir semua dari mereka melakukan kamuflase dengan baik untuk menutupi latar belakangnya dengan cara berdagang di warung dan berperilaku seperti halnya masyarakat sekitar tempat tinggal pada umumnya.

Kata kunci :  Dramatisasi, Mucikari, Pedagang, Teori Dramaturgi
"
249,"
JEJAK HEGEMONI KOLONIAL
(Studi Kasus Pada Bangunan Berarsitektur Belanda di Kalianget Kabupaten Sumenep)
",IKA SAFITRI,Khorirul Rosyadi Ph. D,,"Abstrak

Ika Safitri. 120521100117. Program Studi Sosiologi Jejak Hegemoni Kolonial (Studi Kasus Pada Bangunan Bergaya Arsitektur Belanda di Kalianget Kabupaten Sumenep).
 Tujuan dari Penelitain ini adalah untuk mengetahui bagaimana jejak hegemoni kolonial melalui sebuah gagasan arsitektur di Kalianget kabupaten Suemenep. Hegemoni menurut Gramsci sebagai kepemimpinan budaya dan otoritas dari kelas yang berkuasa atau dominan terhadap kelas subbordinat. Hubungan penjajah dan terjajah adalah hubungan yang selalu dalam kondisi yang hegemonik, Keberadaan pemerintah kolonial Belanda di Kalianget tentu meninggalan beberapa jejak sebuah gagasan, termasuk dalam hal arsitektur. Dan bagaimana gagasan tersebut bisa sampai kepada masyarakat bisa sampai kepada masyarakat hal inilah termasuk sebuah bentuk hegemoni.
Metode yang digunakan dalam penelitian ini adalah menggunakan pendekatan kualitatif dengan jenis studi kasus, subjek dari penelitin ini adalah penduduk Kalianget yang mempunyai rumah dengan gaya arsitektur kolonial Belanda yang dipilih secara perposive sampling, dan juga budayawan Madura. tehnik pengumpulan data yang digunakan adalah dengan cara wawancara semiterstuktur, observasi langsung, dan dukumentasi. Analisis data menggunakan model Miles dan Hubermas yaitu, reduksi data, penyajian data dan penarikan kesimpulan. data yang didapatkan juga diperiksa keabsahannya menggunakan tehnik triangulasi sumber.
 Hasil dari penelitian menunjukkan bahwa gagasan kolonial lewat sebuah arsitektur telah sampai kepada masyarakat, dengan adanya sebuah bentuk peniruan gaya arsitektur kolonial yang dilakukan oleh masyarakat Kalianget, hal ini dibuktikan bahwa dahulu banyak banyak ditemukan rumah  yang dinilai mengandung unsur gaya arsitekturk kolonial Belanda, namun saat ini sudah sulit untuk ditemukan karena sudah mengarah ke arah arsitektur modern. dalam sebuah penyebaran gagasan hegemoni kolonial lewat arsitektur tersebut, juga tidak lepas dari peran arsitek sebagai kaum intelektual. Arsitek juga sangat berperan dalam mentranfer gagasan hegemoni kolonial lewat bangunan yang dirancangnya.

Kata Kunci : Hegemoni, Arsitektur Kolonial Belanda
"
250,Bahasa dan Masyarakat Madura Pendhalungan (Studi di Desa Kramat Mengare Kecamatan Bungah Kabupaten Gresik/,Safa Athul Shofia,"Dr. subandri, M.S",,"Safa ‘Athul Shofia NIM 12.05.211.00102, Program Studi Sosiologi, Fakultas Ilmu Sosial Dan Ilmu Budaya, Universitas Trunojoyo Madura. Skripsi ini tentang Bahasa dan Masyarakat Madura Pendhalungan (Studi di DesaKramat Mengare Kecamatan Bungah Kabupaten Gresik), dibawah bimbingan Drs. Subandri, MS. Penelitian ini didasari oleh bahasa Madura yang masih dipertahankan di masyarakat pendhalungan. Banyak penduduk di Gresik yang masih belum mengerti, bahwa di Gresik juga ada satu desa Pendhalungan. Kebanyakan dari mereka beranggapan bahwa masyarakat pendhalungan hanya terdapat di daerah Tapal Kuda saja. Salah satu Desa yang memiliki kebiasaan yang unik yaitu Desa Kramat. Di Desa tersebut penduduknya menggunakan dua bahasa dalam melakukan aktifitas. Dua bahasa tersebut adalah bahasa Madura dan Jawa. Penelitian ini menggunakan Metode Kualitatif dengan pendekatan etnografi. Penelitian ini memperoleh data lapangan dengan metode wawancara mendalam dan observasi terus terang. Wawancara mendalam ditujukan kepada informan  yang dipilih berdasarkan kreteria informan. Data yang diperoleh dianalisa dan diperiksa menggunakan metode keabsahan data dengan triangulasi sumber. Untuk lebih valid, data yang diperoleh melalui wawancara akan dibandingkan dengan buku Desa dan argument dari petugas di Kecamatan. Hasil penelitian ini menunjukan bahwa bahasa bagi masyarakat Desa Kramat jika dilihat dari sudut pandang masyarakat adalah sebagai suatu silaturahmi, kemudian masyarakat juga menjelaskan bahwa mengerti dua bahasa akan mempermudah mencari teman atau menyambung silaturahmi dengan sesamanya. fungsi bahasa juga diperoleh dari hasil interaksi sosial antara penduduk. Masyarakat Desa Kramat mempertahankan penggunaan bahasanya dengan melestariakan budaya Madura yang telah diajarkan oleh nenek moyangnya. Letak geografis. Desa Kramat Mengare yang bersebelahan dengan Selat Madura khususnya daerah Bangkalan juga menjadi alasan kenapa budaya Madura masih dilestarikan.
Kata kunci: Pendhalungan, Interaksi Sosial."
251,Perilaku Seksual Lesbi di Kota Surabaya (Studi Kasus di Royal Plasa Surabaya),Wiwid Megananda,"Iskandar Dzulkarnain, S. Th.I., M, Si.M",,"RINGKASAN

Wiwid Megananda. 120521100012.  Program Studi Sosiologi. Perilaku Seksual Lesbi di Kota Surabaya (Studi Kasus di Royal Plasa Surabaya) 

Skripsi ini berjudul Perilaku Seksual Lesbi Di Kota Surabaya  (Studi Kasus di Royal Plasa Surabaya). Penelitian ini mengkaji mengenai perilaku seksual yang dilakukan  oleh penyuka sesama jenis perempuan atau lesbi di Kota Surabaya. Adapun masalah yang diangkat dalam penelitian ini adalah : apa yang menjadi latar belakang seseorang menjadi lesbi. Kemudian apa saja bentuk-bentuk perilaku seksual penyuka sesama jenis perempuan atau lesbi.            Penelitian ini  bertujuan untuk : mengetahui apa yang menjadi latar belakang seseorang menjadi lesbi. Kemudian untuk dapat mengetahui apa saja perilaku seksual yang dilakukan penyuka sesama jenis perempuan atau lesbi dalam melakukan hubungan seks dengan sesama jenis mereka yaitu perempuan. Lokasi dalam penelitian ini adalah di Kota Surabaya yang mempunyai komunitas lesbi yang biasanya berkumpul di mall Surabaya yaitu royal plasa, tetapi di sini peneliti bukan meneliti komunitasnya tetapi lebih ke personal. Penentuan informan dalam penelitian ini ditentukan dengan cara snowball sampling dan disesuaikan dengan kebutuhan data.  Informan dalam penelitian ini berjumlah 4 orang. Metode penelitian yang saya gunakan merupakan metode penelitian deskriptif kualitatif, pendekatan yang di lakukan oleh peneliti adalah pendekatan studi kasus,teknik pengumpulan data dilakukan melalui wawancara mendalam dan observasi partisipan.    Penelitian ini menunjukkan bahwa adanya beberapa hal yang menyebabkan seseorang menjadi lesbi yakni Pengalaman pribadi pada masa lalu sehingga mengakibatkan trauma dengan lawan jenis, factor lingkungan baik dari internal yaitu keluarga, maupun faktor eksternal yaitu pergaulan sesama teman yang menyebabkan seseorang menjadi lesbi. Adapun ciri ciri dari Buchi ( sebutan untuk lesbi laki–laki ) adalah lebih berpenampilan tomboy atau bersifat seperti laki –laki dan untuk femme( sebutan untuk lesbi perempuan ) lebih terlihat seperti perempuan normal adanya namun memiliki cara pandang yang lebih tertarik pada perempuan. 

 Kata Kunci : Perilaku Seksual, Lesbi
"
252,PENGGUNAAN PIL KOPLO DI KALANGAN BURUH TANI MISKIN (Studi Kasus Pada Kalangan Buruh Tani Miskin di Desa Ngronggot Kecamatan Ngronggot Kabupaten Nganjuk),M. Salamun Na'im,"Merlia Indah P. S.Sos, M.Sosio",,"ABSTRAK
M. Salamun Na’im, 120521100109, Program Studi Sosiologi Fakultas Ilmu Sosial Dan Ilmu Budaya Universitas Trunojoyo Madura. PENGGUNAAN PIL KOPLO DI KALANGAN BURUH TANI MISKIN (Studi Kasus Pada Buruh Tani Miskin di Desa Ngronggot Kecamatan Ngronggot Kabupaten Nganjuk). Dibawah bimbingan Merlia Indah Prastiwi S.Sos, M.Sosio. penelitian ini dilakukan semata-mata untuk mengetahui keterlibatan buruh tani mengkonsumsi pil koplo di Desa Ngronggot Kecamatan Ngronggot Kabupaten Nganjuk. 
Penelitian ini merupakan jenis penelitian kualitatif deskriptif dengan menggunakan pendekatan studi kasus. Informan penelitian adalah buruh tani yang pernah atau masih menggunakan pil koplo. Penentuan informan dengan menggunakan teknik snowball sampling, dengan dua informan kunci. Teknik pengumpulan data diperoleh dari data primer dan data sekunder. Teknik analisis data melalui tiga tahap yaitu reduksi data, penyajian data dan penarikan kesimpulan. Teori yang digunakan dalam penelitian ini adalah teori sosiologi kriminologi yaitu teori Assosiasi Differensial karya Edwin Sutherland. Hasil penelitian ini pertama adalah buruh tani yang mengkonsumsi pil koplo tidak terlepas dari proses belajar (melakukan penyimpangan), mereka menganngap melakukan penyimpangan mengkonsumsi pil koplo lebih menguntungkan secara ekonomi. Proses belajar tersebut dilakukan pada saat akan masuk jaringan, transaksi, pemakaian serta pengamanan setelahnya. Pemakaian dilakukan tempat kerja, rumah dan tempat-tempat hiburan.  Pola pemakaian yang dilakukan pemakai di lokasi penelitian yaitu pola pemakaian coba-coba, pola pemakaian situasional, pola pemakaian kebiasaan dan pola pemakaian ketergantungan. Factor yang menyebabkan buruh tani mengkonsumsi pil koplo adalah tingkat pendidikan yang rendah, pengaruh teman sebaya, ketersediaan narkoba serta control keluarga yang lemah.
Kata Kunci: penggunaan pil koplo, buruh tani, belajar
"
