userName;score;at;content;;
muhammad husen;1;21/10/2023 03:06;Kecewa berat nih, tidak simple;;
Sahrul Firmansyah;1;21/10/2023 02:45;Kok saya udah bayar tiket lrt berhasil tapi tiketnya gak ada aneh aplikasi nih;;
andi pranata;1;21/10/2023 01:19;Tidak bisa di akses;;
the joss;1;21/10/2023 00:55;BUMN lho ini, masa kalah ma aplikasi kayak traveloka dsb. Saya ga ngerti kayaknya susah sekali registrasi jadi akun basic di app ini, mau beli tiket tp pas mau registrasi susah bener, udah ganti no hp dan email tetep aja sudah tercantum tulisannya, kan tinggal lengkapi informasi doang kok susah sekali daftar di aplikasi ini.;;
Ellin Lin;1;21/10/2023 00:42;Kenapa yah, semenjak update terbaru 6 okt 2023 jd lebih menurun fungsinya, saya uda beli tiket nih & ud bayar, tapi pembayaran gk bisa mungkin error, tp gitu cek di tiket saya & ada cuma gk bisa dibuka padahal saldo KAI berkurang. Oke beli lagi.Eh pas beli jd kebeli 2 & yg sebelumnya bisa dibuka tiketnya. Kadang beli 1 tiket bisa harga 2/3x lipat karena pembayaran gk bisa & buktinya setelah dibeli ud terlanjur kebayar lebih gmna dong. Dlu pesan 1 tiket di jam yg sama & orng yg sma gk bisa,gmn ni;;
Lathifa Rania Ilahi;1;21/10/2023 00:07;Pembatalan tiket tidak bisa karena menu tidak tersedia;;
Ogi Satriyo;3;21/10/2023 00:02;pasword kai tidak bisa;;
El Zafi;2;20/10/2023 22:21;Untuk top up KAI PAY via gerai retail, kenapa tidak dibuat bisa top up di bawah 50k seperti e-wallet lainnya. Ubahlah kalau mau bersaing e-walletnya;;
herman wahyudi;5;20/10/2023 18:49;Baik;;
Bayu SIP;1;20/10/2023 18:02;Saldo saya terpotong dan terambil oleh sistem, saldo kai pay 108 rb beli tiket seharga 48 rb, terpotong jadi sisa 24 ribu, hilang 36 ribu... Tidak ada tanggapan dari kai, sangat kecewa, uang saya belum kembali juga, parah, bikin trauma dan gak akan pakai pembayaran kai pay lagi, kapok dan takut dicuri lagi saldonya..;;
Endang Sulistywati;5;20/10/2023 17:16;Sekarang kok cuman bisa pesan sekali aja yang lokal, terus gimana kalau misal mau mudik dan harus naik kereta dua kali kalau pesan aja cuman bisa sekali aja.;;
Yanto Januari;1;20/10/2023 16:39;Apk ga jelas, mau daftarin buat ortu saya, malah ga bisa. Saya login diakun pribadi saya juga ga bisa.;;
Sukono Kbm;1;20/10/2023 16:38;Tidak bisa upgrade akun basic..ribet..apa pea aplikasinya..tau dh;;
lubiss Lubis;1;20/10/2023 15:09;Aplikasi baru yg ribet, menyusahkan pelanggan, masa diupdate tp malah makin ribet...jauh bagusan yg versi lama.;;
Refi sulva Rizky lubis;1;20/10/2023 14:32;Susah sekali melakukan pembayaran;;
Siti Chasanah;3;20/10/2023 14:05;Gemana cara memilih tempat duduk, klo yg dulu lebih mudah 🫣;;
Aulia Nur Herlita;4;20/10/2023 13:02;Saya mau pesan kereta selalu kadaluarsa..gimana ya?;;
Dani Rizkiyani;1;20/10/2023 12:25;TOKONG APLIKASI NYA DIPERBAIKI TIDAK BISA BUAT CEK TIKET DAN LAINNYA;;
wawa yati;1;20/10/2023 10:32;Min kenapaa gabisa masukk? Pdhl no atau emaim yv dimasukan sudah benarrrr;;
Zainurrahman Wahyurianto;1;20/10/2023 10:26;Tiap update app mesti login ulang, sulit lagi loginnya. Tambah ribet.;;
Lyra Lyra saidina;1;20/10/2023 10:19;Sangat buruk;;
Brayen Gigi;1;20/10/2023 10:00;E-wallet tidak bisa di gunakan, beli langsung ga boleh. Ribet skrng, bagusan apk yng dulu;;
Dian Anggraini;1;20/10/2023 09:50;Kai acces not reccomended banget. Pesan tiket, langsung bayar. Lha ko tiketnya ga muncul2. D komplain via dm ig, wa, email smua di cuekin. D tlp call center, cm blg maaf k metode byr via qris lg gangguan. Dn status pemesanan tiket msh book, yg satu lg failed. Lh apakbr sm pembayaran saya?? Sekelas KAI ko IT nya ga becus kelola aplikasi sh;;
Dry Gaming;1;20/10/2023 09:43;Aplikasi nya Error terus,Mau Ganti Nomer Tlp di Aplikasi, susah bener.;;
Ria Werdiani;2;20/10/2023 08:52;Tampilan yg skrg gk nyaman banget khususnya buat pilihan kereta antarkota. Sekarang gk keliatan kereta yg udh habis dan harus klik detail dulu untuk liat ketersediaan keretanya. Gak ramah klo untuk war ticket.;;
Agung Ramadhan;1;20/10/2023 08:49;Error mulu...;;
Salima Zahrani;1;20/10/2023 08:30;Aplikasinya membingungkan sekarang, lebih enak versi lama gk ribet dan gk membingungkan. Tambah turun upgrade nya bintang 0;;
Alifi Lifi;1;20/10/2023 08:15;Tambah menurun mudah yang lama;;
Fariz Pramanthyo;3;20/10/2023 07:33;Di update kok makin ruwet, enakan dulu kalau pesan kereta, sekarang kita gatau kalau tiket nya masih tersedia atau sold out karena harus klik dulu nama kereta nya;;
Yunus Wahyu Setiawan;2;20/10/2023 06:29;Filter pemilihan jenis kereta kok dihilangkan?? malah lebih ribet drpd aplikasi yang kemaren.;;
yulia lenny;2;20/10/2023 06:28;Mau install tp liat review jelek bgt.. jd maless dehh;;
Deni Suryaman;1;20/10/2023 05:58;Mau coba akses kcic susah bngt;;
Bang YOS Purwokerto;1;20/10/2023 05:57;Pembaruan malah makin ribet... untuk tiket yang tersedia harus lihat 2 kali klik... ga kaya vwrsi lama... payah bukanya makin gampang malah tambah sulit buat nyari kreta nya;;
titin wang;2;20/10/2023 05:57;enakeun aplikasi lama, aplikasi baru malah gabisa railfood😴;;
Hawaa Iraa Ansari Harahap;2;20/10/2023 05:47;Ini kenapa yaa. Mau pesan tiket kai lokal dari binjai ke Medan tidak ada jadwalnya? Berulang kali dicoba ttp juga. Aplikasi keren tapi membingungkan;;
Rizki Saiful;1;20/10/2023 04:46;Sering error;;
albert anderson;2;20/10/2023 03:57;Mau daftar aja ribet email, no telpon, lupa sandi gk bisa, dgn email sama gk bisa;;
Aqila Siti Zahra;1;20/10/2023 03:45;Update apk malah jadi gabisa pesen. Pake apk lama di hp temen, masih ada jadwalnya. Aneh bgt sih.;;
Vitha Assyifa story;1;20/10/2023 03:41;Aplikasi payment e mbulet.. pake ovo kesalahan terus. Pake kaipay failed,, masukin sandi ulang trnyata kepotong 2x pembayaran.. Kalo untuk masyarakat umum jangan dibikin ribet....;;
Adrika Yoga;1;20/10/2023 02:41;Aku cukup heran..barusan saya pesan tiket kereta tersisa ada 41 kursi yng kosong tapi begitu di pesan kok saya cuman dapat bagian yang berdiri di boarding? Aneh lama lama..tolong tampakan fitur sebelumnya mana mana aja kursi yng udah di pesan dan yng belum di pesan !! Fitur baru bikin merepotkan..segala hal yang dulunya mudah dibuat susah karena gengsi;;
Yuni Astutik;1;20/10/2023 01:58;Waktu pembayaran gagal, tapi saldo terpotong. Cs Sulit dihubungi..payah;;
Fiki Shofwatul Fawaidah;1;20/10/2023 01:39;tampilan memang lebih bagus yang sekarang namun secara penggunaan mudah dan nyaman yang lama karna lebih banyak tiket yang muncul saat dicari kalau yang baru harus seminggu sebelumnya baru dapat kursi itupun tinggal sedikit kursinya kadang malah tanpa tempat duduk🥲🙏;;
Lufi Muhamad;5;20/10/2023 01:12;Ketika mau proses kode qris susah keluar tidak tampil kode qris nya,.. tolong dong berbenah, harusnya kalo udah update itu makin bagus bukan makin jelek;;
Faishal R.r;1;19/10/2023 23:41;Ini gimana maksudnya jadwal kosong, gajelas banget. Di cek di HP temen saya padahal jadwalnya ada, saya jadi gadapet tiket.;;
Kirana Dinda;1;19/10/2023 22:12;Lebih enak versi lama, ini mau pesen tiket, pas mau bayar ada keterangan sudah kadaluwarsa 🥲Padahal pesen tiket H-7 sebelum pulang... Aplikasi yg lama waktu pemesanan tiket 6 menit, ini cuma 1 menit klo ga salah😭baru mau bayar, uda ga bisa karna kadaluwarsa... Tolong lah waktu pemesanan tiketnya di tambahin lagi..;;
mas jaya;1;19/10/2023 18:43;BIROKRASI YANG LEMOT. GAUSAH ADA DIADAIN TOP UP PULSA;;
sri wulan sari;3;19/10/2023 17:40;Saldo kaipay gw kepotong 2x lipat anjirrr 😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭;;
Mukhamad Kojin;1;19/10/2023 17:24;Tolong aplikasinya dibenerin ya, karena sering kali error' terutama saat akhir pekan, yang jadwal gak muncul lah, yang pilihan kursinya ngeblank gk kelihatan, payah;;
Edward Kristian Mangare;1;19/10/2023 17:14;Tolong diperhatikan booking tiketnya di sub selalu bermasalah;;
fran bagas kara;1;19/10/2023 16:49;Ntah kenapa sejak di ganti kai acces ke versi baru selalu saja mengalami kesalahan jaringan padahal jaringan Bagus dan saya rasa apk ini tak mencerna dengan baik Setiap pencarian selalu ada tulisan di bawah nya gagal mencari atau gagal menyambung kn hadehhh kesel cari tiket luar kota Susah banget selalu ada gangguan.;;
muham bahrul;1;19/10/2023 16:44;Mau dibuat ala2 startup jatohnya pedih di mata dan ribet ada fitur2 yg kurang berguna;;
Alfian Ds;1;19/10/2023 16:16;Tidak bisa memilih kursi;;
Mhd Ayub;1;19/10/2023 16:00;Habis di update nyari tiket tambah susah,ribet bagusan aplikasi yg lama sebelum di update;;
Abdulloh Bin Abdulloh Tamam;1;19/10/2023 15:20;Kenapa ini gk fungsi.??? Saya baru download cek lokasi awal berangkat/dari - tujuan gk bisa, gagal terus;;
Marzuki;1;19/10/2023 14:53;Update gabisa dipakai error isinya, balikin kaya dulu aja ringan;;
Anni Fitri;1;19/10/2023 14:52;Kai semenjak di perbarui semakin ribet dan sulit, saya mau pesen tiket lokal jadwal tidak ada ud bolak balik direset ulng TPI ttp GK bisa untuk pesan KA lokal .. tolong diperbaiki lgi 🙏 dipermudah kan lagi untuk bisa pesan🙏;;
Euclid;1;19/10/2023 13:50;Kapan ya aplikasi model2 ginian bagus hahahah;;
Fashimado Zaki;5;19/10/2023 13:36;makin keren pokoknya, coba kalau ada promo promo potongan harga dll, mesti makin kece;;
Inggita Putri;1;19/10/2023 13:12;Makin upgrade makin jelek,sudah di upgrade tapi verifikasi email udh dibuat tetap eror apasih gak jelassss,;;
Fauzan Fikri;1;19/10/2023 12:21;Ga bisa log in, loading terus setelah memasukkan password dan tiba tiba ada notifikasi aplikasi tidak merespon;;
Yusuf Aryanto;1;19/10/2023 12:12;Versi terbaru lebih ribet,, susah untuk masuk ke akun sendiri. Di upgrade bukannya makin bagus malah turun layanan di aplikasi;;
muhammad amiruddin;1;19/10/2023 11:53;"Ketika ingin melakukan pembayaran selalu muncul notif ""waktu pemesanan anda telah habis, silahkan lakukan pemesanan ulang"" padahal untuk pembayan baru klik langsung muncul notif seperti ini, dan ini dilakukan berulang kali tetap muncul keterangan yang saya sampaikan tadi.";;
Anggi Nurdiansah;1;19/10/2023 11:52;layanan pemerintah kok pembayaran masih minim, rekening bca bri yang jalur lokal masih stack di ovo, payah;;
WIDIA;3;19/10/2023 11:42;tolong ini semenjak upgrade dan banyak fitur jadi loading terus, jadinya gampang kehabisan tiket belum lagi akun sering tiba tiba keluar sendiri, tolong di perbaiki lagi seperti dulu.;;
Theya Alfalah;1;19/10/2023 11:38;Kenapa sekarang susah sekali pesan tiket lokal di medan, berulang kali buka aplikasi mau pesan, tetap saja jadwal tidak ditemukan, makin lama bukan makin baik ni aplikasi, makin ngeselin, apa guna nya klw hrus beli tiket ke statiun juga,,,,;;
Berliana Pertiwi;1;19/10/2023 11:38;Mau pesen tiket semua jadwalnya kosong, giliran cek pake versi lama masih ada banyak bangkunya. Kek mana iniii, di update malah jadi gabisa dipake;;
SM PRJT;1;19/10/2023 11:22;Cancel tiket sulit amat;;
Heru Kristianto;1;19/10/2023 10:49;Habis d perbaharui pembatalan sama perubhan jadwal gk ad;;
Apeep;1;19/10/2023 08:32;aplikasi nya lebih mudah versi lama;;
Annaufal Barra;2;19/10/2023 08:26;Saat perubahan jadwal maupun perubahan no kursi udh bagus, ada biaya 25%. tp bagus proses cepat. Tp knp saat pembatalan tiket proses pengembalian dananya sangat lama..?? itu saja..;;
roedy meisah;2;19/10/2023 08:25;Semakin di perbaharui semakin tidak bagus, tiket pesanan tidak masuk dan tidak tertera diriwayat , untuk KA lokal tidak bisa pilih kursi seperti biasanya, PAYAHHHH...!!!;;
Romando Gultom;1;19/10/2023 07:18;Dalam update terbaru ini, Reduksi tidak dapat digunakan. Coba di cek dan ditindaklanjuti. Terima kasih! EDIT : Reduksi Subsidiary 50, setelah dipilih akan muncul kolom dengan tulisan 'Anda tidak dapat menggunakan tipe reduksi ini'.;;
Adib Bayu Pratama;5;19/10/2023 06:19;Ok;;
Widyas Prasetyo;4;19/10/2023 05:35;Saya naik Kereta Bogowonto sudah 2 x, saat pergi pulang Jogya - Bekasi tetapi dapat tempat duduk selalu menghadap ke belakang . Kenapa di setiap kereta tidak dibuat menghadap ke depan semua ? Kami sebagai orang yang punya riwayat vertigo sungguh tidak nyaman dengan kondisi tersebut.;;
wahyu lesmana;5;19/10/2023 05:18;Siip;;
Arra F;1;19/10/2023 04:50;Tinggal bayar pasti kadaluwarsa terus. Padahal pesenku ga lama. Jaringan juga bagus. Setiap mau masukkan pin buat pembayaran keluar mulu. Tolong diperbaiki;;
Royhan Reza;5;19/10/2023 04:04;Sudah bagus applikasinya;;
rimma siska;1;19/10/2023 03:45;Aplikasi apaansih ini, activasi kaga bisa mulu padahal udah ngikutin stepnya dengan benar, mending gausah ada aplikasi ini aja deh;;
Didik Sulastiawan;5;19/10/2023 03:15;Entah esok kpn... .hrs lebih maju lagi di segala bagian. .;;
Endra Mulyana;5;19/10/2023 03:02;TOLONG PT KAI TAMBAHKAN PEMBAYARAN E-WALEET DANA ATAU GOPAY PLEASE;;
Lathifil Anshori;2;18/10/2023 23:35;tidak bisa menambahkan tiket.;;
Guntur Surendra;1;18/10/2023 19:44;lebih bagus versi lama..... dan lebih mudah,, pemilihan kursi dan pemilihan kereta nya.. kembalikan ke versi lama saja.;;
gayuh santoso;1;18/10/2023 18:02;Lebih praktis yang lama;;
Jays Azka Mukhbitin;1;18/10/2023 17:39;3x transaksi kepotong untuk beli 1 tiket, kok sekarang mulai gak beres kai ya, mau klaim gak ada buat klaim nya, apa harus ke staiun dulu??;;
Egha Rio Septianto;1;18/10/2023 15:12;Banyak bug waktu beli tiket kereta bandara;;
Fatfat Aje;1;18/10/2023 14:33;Beberapa kali login sama pesan tiket gagal Mulu Karna metode pembayaran nya ribet ngak ada dana / BRI ribet. pake mbangking ttp ngk bisa masuk masuk top upnya. Saya jadi ngk bisa pulang rumah Karna hal ini.l;;
Yan'S music everywhere;1;18/10/2023 13:59;Diperbarui malah MAKIN RIBET TIDAK SIMPLE, ENAKAN VERSI LAMA SIMPLE. KITA BUTUH CEPAT TEPAT !.;;
Andien Alfath;1;18/10/2023 13:36;Enakan versi lama Maksudnya mungkin biar kelihatan profesional tapi malah ketahuan carut marut nya;;
cichi kusuma;5;18/10/2023 13:33;Sangat keren dan membantu;;
Suherni Meliawati;5;18/10/2023 13:23;Memudahkan untuk kita ber pergian jlur krta;;
Faradiba Fajar Ramadhan;1;18/10/2023 13:05;Gada live conversation ke cs nya susah kalau butuh bantuan atau mau bikin laporan;;
SyidZa Official Partner;1;18/10/2023 12:23;Ciee dapat rating rendah mulu😛;;
firman jalani;1;18/10/2023 12:01;Apk boborok, tiba2 gw ga bsa masuk silahkan cek pengaturan tolil;;
Killua Zoldyck;1;18/10/2023 11:57;padahal jaringan stabil, tapi kok giliran mau pesan kreta lokal error mulu;;
BOCAH NGETRIP;1;18/10/2023 10:54;enakan kai acces njir;;
Suhar yanto;1;18/10/2023 10:53;Ini kenapa mau beli tiket, Tulisanya kosong terus ya,;;
Albert Xxx;2;18/10/2023 10:39;Ribet Nggak praktis Pembayaran rumit;;
Fardan Adharizal;5;18/10/2023 09:40;Ini jauh lebih baik. Aku beri kamu bintang 5;;
Yuan Ferdiansyah;1;18/10/2023 09:03;Masa saya make akun lama ngak bisa dan buat cek kereta lokal susah mending di balikin ke versi lama lebih mudah;;
Wahidin Sudrajat;5;18/10/2023 08:57;Mantap;;
Adam Pandawa;1;18/10/2023 08:41;Harusnya loket yang untuk orang baru beli tiket dipisah dg yg ganti jadwal karena kereta terlambat, kalo digabung jadi yg ngejar kereta beli tiket on the spot jd ikut telat karena lebih banyak yg ngantri nuker tiker padahal jadwal ganti mrka msh lama!!!;;
Mookubi. id;1;18/10/2023 08:26;Kenapa tiket medan binjai sekarang tidak bisa di akses lagi ya... Tidak tertera jadwal keberangkatannya...;;
5minutes (5);1;18/10/2023 07:35;Ditinggal pak jonan jadi PT Sampah...👎;;
Arif;1;18/10/2023 06:57;halo, versi yg ini makin banyak pilihan yg ga penting. mau pesen tiket udah kaya mau daftar paylater. railfood dan segala macam itu ngga perlu dimasukkan ke step pemesanan tiket yaa. Please hear us KAI !!;;
Yayan;1;18/10/2023 06:54;Buruk sekali aplikasinya 😪;;
A u l i y a;1;18/10/2023 05:35;Tidak bisa daftar akun basic, aplikasi lemot;;
Bima Dwi;1;18/10/2023 03:40;Masa uang udah bayar 2x tiket tidak ada apa apaan ini;;
Iqbal Ilham;1;18/10/2023 02:19;Pembayaran sulit e-wallet TDK bisa digunakan;;
Anggara 1408;1;18/10/2023 02:03;Beda dng yg lama;;
Alip Fadzillah;1;18/10/2023 01:29;Error saat melakukan pembayaran. Mohon diperbaiki;;
Sirojul Ummah;3;18/10/2023 00:32;Versi baru ini kenapa ya? Untuk cari stasiun aja susah banget. Dan di aplikasi ini aku pembayarannya sama ovo tapi tbtb kok gak bisa ya? Tolong donk di permudah. Biar kita saling enak aja mau perjalanan...;;
Adi Hariyanto Official;1;17/10/2023 23:13;18-10-2023, meskipun ini solusi dari dampak kereta anjlok.. tapi perjalanan ini sungguh lama dan panjang, dari jalur selatan, ke pantura, balik lagi ke selatan itu panjang banget.;;
Dony Eko Prasetyo;5;17/10/2023 22:52;Mantappp, saya skrg terbantu sekali dengan tarif murah 🥹🙏 makasih kai;;
DannzzTzy FF;1;17/10/2023 21:34;jlek;;
Salwa Khafifah;1;17/10/2023 15:56;ruwet;;
joe locco;5;17/10/2023 15:31;👍👍👍👍👍👍👍👍;;
Nyoman Tarwiyah;1;17/10/2023 14:09;Apaan upgrate malah bikin susah pesen tiket nyesel, ada gak app yang lain selain kai jelek ini?;;
hendry prabowo;1;17/10/2023 13:45;Aplikasi ga bisa untuk transaksi payah.... Gimana nih....;;
Ahmad Sony Firmansyah F;2;17/10/2023 13:34;Kenapa untuk antar kota tidak bisa ?;;
ELPIN NAZWA DAMANIK;1;17/10/2023 12:32;Pesan tiket...semua tiket habis terus ..... Mau tanggal berapa pun. Apk gak jelas.;;
Fathnayanti Muchtar;5;17/10/2023 12:04;Jadwal kereta tepat waktu & tempat duduk cukup nyaman..mudah2an kedepannya ditambah lagi jadwalnya🙏;;
Leomarvaldo Chascarino;1;17/10/2023 10:42;Kembalikan KAI Access seperti yg dulu. Jangan tampilkan tiket kereta yg sudah habis.;;
Yeni Puspitah;5;17/10/2023 10:35;nyaman aman;;
Danny Wibowo;1;17/10/2023 10:22;Aplikasi gak jelas;;
Sadewa Muhammad;1;17/10/2023 10:08;Update bukannya malah lebih memudahkan, malah menyusahkan. Balikin aja ke yg lama;;
eka chan;2;17/10/2023 09:42;Mau login kok susah mana sudah beli tiket;;
Daryat Hamdani;1;17/10/2023 06:29;Di tiket jadwal keberangkatan 6:55 6:50 udah berangkat jadi ngerugiin konsumen gimana dong ?? Pake kereta lodaya;;
Meii Comey;1;17/10/2023 06:07;Kenapa ga bisa login;;
Syifa Usshudur;1;17/10/2023 05:42;Aplikasinya ngedown.jadi tambah sulit;;
Aditya Rizqi Rmdhni;1;17/10/2023 03:01;gimana nih beli pulsa 2x gagal tapi dana tidak dikembalikan ayo uang saya 75.000 belum dibalikin ke saldo kaipay.;;
devy arifani;1;17/10/2023 02:57;Susah masuk kode otp udah bbrp kali;;
Muhammad Azmi;1;17/10/2023 02:36;"Setelah pilih kota tujuan, tiket tidak ada yang muncul, hanya bacaan ""jadwal kosong"". Makin sulit";;
harry josh;4;17/10/2023 02:31;Hai ka, pembayaran masih belum bisa menggunakan kartu bank lain selain mandiri yah...😔;;
Nabila Syifa;1;17/10/2023 02:13;Saya mau beli tiket tapi cari stasiun keberangkatan di daerah tempat saya ga ada;;
aulia najma;1;17/10/2023 00:33;jelek banget, masa selalu gabisa kalo dipake buat kereta lokal, pas cari stasiunnya selalu ada gangguan gajelas;;
putut sutrisno;2;16/10/2023 23:13;Pilih kereta antar kota, hanya tersedia stasiun populer saja,;;
Catur Ari Susanto;1;16/10/2023 21:32;mending pakai aplikasi versi lama. pembayaran mudah. ada via linkaja. untuk versi yang baru ini. kurang memuaskan susah pembayaran dan sering eror;;
Jovan;1;16/10/2023 17:40;Ko jelek bgt sih banyak tingkah tapi performanya down drastis;;
Hanif Andriyan;3;16/10/2023 17:20;Tidak bisa pilih kursi;;
Yanti Garcit;3;16/10/2023 15:12;Pertama kali pesan tiket melalui online lancar2 aja,terus yg ke 2 kali mw pesan lg udh gk bisa.di situ tertera jadwal kosong.knpa bisa gtu ya.mhon penjelasan nya.pdahal mw pesan dari 2 hari yg lalu,tapi tetep gitu jadwal kosong;;
OSHS;5;16/10/2023 14:33;Great;;
Paul P;1;16/10/2023 13:13;Aplikasi jelek. Mau bayar tdk bisa. Padahal sdh aktivasi kai pay. Nyesel downlod aplikasi ini;;
Afei Feiadhil;1;16/10/2023 11:55;Masih suka lemot. Terutama kalo traffic tinggi. Kalo ada event promo. Pasti blank aplikasinya. Perbaiki lah. Masa kalah sama Traveloka. Traveloka smooth banget meskipun traffic tinggi kaya bereburu tiket mudik lebaran tetep enak;;
Tazka Mubarok;1;16/10/2023 11:36;Registrasi nyalama 2hari baru dapet kode otp;;
yoyok wardoyo;1;16/10/2023 11:32;Aplikasi apaan buat pembelian tiket kereta bandara susah !!;;
risma indraa;1;16/10/2023 11:09;Aplikasi tidak bisa login;;
jago Milan asnafi;1;16/10/2023 08:50;aplikasi busuk pesan tiket gagal 2x di pembayaran . Saldo berkurang.. tolong segera diperbaiki..;;
Ulvah Maria;2;16/10/2023 08:25;Setelah fitur nya berubah ini untuk metode pembayaran melalui e-wallet ovo ko ngga bisa terus yah min ? mohon penjelasannya 🙏 , dan mau top up saldo melalui mbanking juga tidak bisa akses min, lebih nyaman fitur sebelumnya 🙏;;
Gani Tama;1;16/10/2023 07:03;Tampilan aplikasi bagus tapi tidak bisa menerima kode OTP;;
rasidfds;2;16/10/2023 06:30;Pencairan dana refund / pembatalan tiket terlalu lama kalau harus nunggu 45 heri kerja, setidaknya maksimal 14 hari kerja lah;;
Agus Susanto;5;16/10/2023 06:06;Aplikasi yg sangat membantu..👌;;
Rokhmat Anofal;1;16/10/2023 05:25;Kok gadi ngak jelas gini app, sinyal ada tp suruh cek koneksi internet 😡😡😡 parah;;
Nengsri Hayati;1;16/10/2023 05:23;Masih lebih baik aplikasi yg lama, aplikasi baru sering keluar akun tiba2, ketika akan masuk akun lagi susahnya luar biasa... minta kode otp sdh diisi tapi time out, padahal waktunya masih ada 01.13 detik;;
Syeh syam;1;16/10/2023 05:20;nambah ga jls setelah di updet malah ke bnykan bug ny kurang suka;;
Didit Eka;1;16/10/2023 04:40;Sering error;;
Safitri Indah;1;16/10/2023 04:24;Error terus malah gak bisa digunakan;;
Budi Siregar;1;16/10/2023 03:31;medan - binjai (dan sebaliknya) tidak ada jadwal per tgl 16 oct.. tidak ada notifikasi atau penjelasan. kereta lokal;;
Nurul Nabila lubis;1;16/10/2023 02:57;Males banget sama kebijakan kai daerah Medan sekarang, gabisa pilih seat, terus kalo pergi sama temen atau orang tua, pasti terpisah seat nya. Ga jarang juga banyak yang minta tukeran seat karena mau duduk sama temen nya. Mohon di kembalikan seperti semula saja min.;;
muslih;5;16/10/2023 02:53;Transfortasi mudah hemat dan ekonomis, praktis dan tidak ribet...;;
Helmi Cahyo;1;16/10/2023 02:30;Sulit sekali untuketode pembayaran;;
Mamat Harianto;1;16/10/2023 02:25;habis update aplikasi. tiket yang sudah dibeli enggak muncul diaplikasi;;
Elly purwanti Suzanna;5;16/10/2023 02:14;Good;;
Linda Mendrofa;1;16/10/2023 01:51;Aplikasi nya gabisa , pas lihat jadwal gak nampak Aplikasinya eror. Tolong lah dibantu;;
Triska Sukmawati;5;16/10/2023 01:48;Sekarang sudah bisa digunakan dengan baik. Terima kasih 🙏;;
Nazaruddin 122;1;16/10/2023 01:48;Buruk;;
Grace Hutabarat;1;16/10/2023 01:38;Tiap isi data selalu data sudah ada. Menambahkan tiket gabisa. Button tambahkan gak berfungsi. Banyak juga button yang gak ada action kalau di klik. BIKINGEREGET BANGET males install balik.;;
Faisal Alif;1;16/10/2023 01:37;Pembayaran lewat gopay belum bisa, kalau udah bisa naik bintang 5.;;
Titut Sri ningsih;1;16/10/2023 01:03;Selamat siang. Aplikasi sudah yg terupdate. Tapi utk mengisi data member basic, gagal mulu. Bagaimana mengatasinya ? Sudah dicoba berulang kali masih tidak. Mohon bantuannya segera. Urgent. Kasihan yg mau pergi mendadak. Terimakasih;;
Irma Rani;2;16/10/2023 00:19;balikin lagi ke aplikasi dulu dong, yg sekarang susah terhubung dan selalu gagal lebih nyaman dan enak yg dulu;;
ftz ra;1;15/10/2023 23:50;kenapa saldo saya tiba2 hilang, di kaipay?;;
wa transport;3;15/10/2023 22:56;"Aplikasi sistem eror... tolong segera diperbaiki Setelah biodata diinput selesai....utk pembayaran Sistem pasti muncul tulisan"" Pemesanan Anda Kadaluarsa"" Tolong sistem cepat diperbaiki ... terima kasih 👍";;
Acep Suryana;1;15/10/2023 22:13;Apk ini sumpah bikin gua ribet, pencarian kaga muncul terus huh,lebih enak pake yang lama daripada yang sekrang ,tampilan doang bagus dalemnya ribet bnyak eror;;
DIMAS AMIRUL;2;15/10/2023 21:31;Stasiun kota saya tidak ada, jadinya saya tidak bisa berangkat ke kota tujuan;;
Bima Sandy;1;15/10/2023 20:59;Aplikasinya malah jadi lemot padahal sinyal nya bagus, waktu pembayaran susahnya minta ampun sampek waktu pembayaran habis gegara time out mulu;;
su bagiyo (cak bagiyo);1;15/10/2023 19:23;"Sangat disayangkan mau coba lihat² menu ""hotel"" musti punya tiket KA dulu, Kirain bisa kayak traveloka atau gumana, jadi pas brosing² hotel siapa tau tertarik, bisa booking hotel baru beli tiket keretanya. Eh malah gk bisa.";;
Nasya Nasya;2;15/10/2023 18:03;Emang aplikasi dancok udh pesan lewat aplikasi teman jga tetep ga bsa 😡😡😡 stiap baru mau pencet pembayaran pasti ada tulisan kadaluarsa. kadaluarsa matane itu batas pesankan 60 menit ini blm ada 1 detik pasti ada tulisan kadaluarsa;;
reni ren;1;15/10/2023 17:18;Saya sudah 3X pesan tiket kereta api di KAI access tapi setelah melakukan pembayaran - masukkan PIN KAI PAY - Pembayaran GAGAL tapi *SALDO TERPOTONG* Tidak ada tindak-lanjut dr CS utk proses refund dana. Mau pake OVO juga entah kenapa apk baru ini gak bisa tp klo pake KAI PAY saldo terpotong terus . Mohon ditindaklanjuti laporan ini Terimakasih;;
rheina safitri;1;15/10/2023 17:01;"Masih nyaman versi sebelumnya, masa aq mau kaitin sm ovo kgk bs katanya ""ups terjadi kesalahan"" APE!! Pdhl koneksi dh bagus kali, sukak kali mempersulit hidup";;
Mochammad Cahya Zuraiesky;1;15/10/2023 15:17;abis diupdate malah gajelas, bug, lag, mau pesen food aja susahnya minta ampun.;;
Iqbal Maulana;1;15/10/2023 15:10;Tidak bisa reschedule tiket kereta, sudah coba masukkan kode pemesanan, tapi tidak bisa, padahal kode pemesanan sudah benar, payah;;
